,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,DividendYield,52WeekChange,Momentum_6m,Volatility,Return_6m
CSX,16.56704,4.5068393,0.28336,0.07967,153.394,1.245,55892262912,1.74,-0.19341785,-0.12495815515741204,0.22798339620940525,-0.12495815515741204
CMI,11.378392,4.3182883,0.38356,0.07453,67.978,1.005,44379549696,2.22,0.113253,0.007383324501711863,0.25384643717702826,0.007383324501711863
CVS,18.530054,1.1309365,0.0602,0.01993,109.494,0.531,85507457024,3.96,-0.15747243,0.19571791811474437,0.40863302662024703,0.19571791811474437
DHR,39.802082,3.050322,0.075679995,0.03976,34.603,0.849,150355394560,0.61,-0.15741628,-0.23192579491703258,0.24304274300786255,-0.23192579491703258
DRI,23.480854,11.092727,0.48222,0.07198,355.524,1.272,24426319872,2.7,0.24110079,0.2388679981857016,0.29071852477210647,0.2388679981857016
DE,21.335546,5.819348,0.27745,0.0496,289.674,1.024,130813411328,1.34,0.17743587,0.18163788736830844,0.2558076480988644,0.18163788736830844
DAL,8.718575,1.9512912,0.26191,0.05046,156.091,1.343,30017853440,1.25,0.004177928,-0.022579118866432935,0.3680108536717728,-0.022579118866432935
DVN,8.101974,1.6591817,0.21857001,0.093100004,62.949,1.954,23960825856,2.56,-0.25328815,-0.08679127720569302,0.2845249158905604,-0.08679127720569302
FANG,10.341275,1.2383949,0.1292,0.06336,32.861,1.831,46484226048,3.81,-0.17701972,-0.12346395020614465,0.28511325245517294,-0.12346395020614465
DLR,90.06832,2.3687088,0.02664,0.0089,79.457,0.676,49706381312,3.27,0.037211895,-0.09213548858340703,0.2782846991778469,-0.09213548858340703
