,PE,PB,ROE,ROA,DebtToEquity,Beta,MarketCap,Momentum_6m,Volatility,RSI,MACD,SMA_50,SMA_200,Volume_Price_Ratio,Return_6m
AMAT,20.006536,6.676118,0.35186002,0.15558,35.372,1.619,124344098816,-0.19981643369195645,0.42739160477741756,46.79830392987764,0.9472913904096929,169.03537719726563,189.0704552459717,18905.141733460216,-0.19981643369195645
APTV,9.216235,1.714007,0.17297001,0.05511,97.832,1.785,14717812736,-0.08154352797029696,0.37230161401338674,45.860711261359704,-0.08249210639176968,63.80849998474121,65.63272500991822,8646.566825566306,-0.08154352797029696
ACGL,8.449509,1.7730895,0.22014,0.044499997,13.886,0.603,35490004992,-0.12193328515353763,0.2362351732542921,61.23598485477612,0.3390661611437323,92.08160018920898,96.46818923950195,5353.2097690460105,-0.12193328515353763
ADM,12.698629,0.9994178,0.07587,0.0233,51.438,0.662,22234419200,-0.22896854332907934,0.2418621042887266,52.31676194840742,-0.1434858581468415,47.94631416320801,54.24383331298828,28049.08398704435,-0.22896854332907934
ANET,38.982063,10.970469,0.33137,0.15336001,0.597,1.079,109629161472,-0.09556258401641216,0.49632047283532976,48.29567336491063,1.4401754263395317,101.52839965820313,96.1485249710083,54220.78664963912,-0.09556258401641216
AJG,51.819447,4.1654058,0.09488,0.030280001,67.281,0.755,85525716992,0.2211104067701959,0.18743489635568653,45.90781570953941,-0.1786918930065342,317.59784423828125,290.9785231018066,2212.0431850211853,0.2211104067701959
AIZ,14.557786,2.0939887,0.15332,0.01893,42.013,0.606,10684583936,0.09075518886248934,0.2082763259785365,57.65765802190408,0.4934096101883808,208.52135192871094,195.55490631103515,416.6571579468181,0.09075518886248934
T,18.308725,1.8755586,0.10226,0.04123,121.359,0.705,195820765184,0.2992902433114155,0.21216163104569266,61.3148813783373,-0.04296345331287482,25.246511993408202,21.67561631202698,901996.1225946948,0.2992902433114155
ATO,21.349354,1.8480731,0.09009,0.03504,66.587,0.664,23619518464,0.10240611174471792,0.16075701789410407,51.82705502191139,-0.2986984824873935,145.8802340698242,135.30323112487793,1814.112518308907,0.10240611174471792
ADSK,53.50098,22.321196,0.49687,0.08382,97.634,1.509,58232074240,0.02282167648810729,0.2750743081483447,55.3843687546089,2.9416924701687357,284.9628009033203,273.6886000061035,1948.0265242490773,0.02282167648810729
ADP,31.095932,23.895033,0.83716005,0.054569997,86.202,0.777,121332998144,0.09023710263379692,0.16316259010726206,39.41985212036532,-0.18617364997504793,301.5876745605469,279.4408364868164,1532.3765571041815,0.09023710263379692
AVB,28.06833,2.5413444,0.09122,0.02898,69.094,1.013,30385670144,-0.05719312956405631,0.18405036269796562,32.32521119156503,-0.09862399728701154,217.7506005859375,216.4073236846924,1291.3482777070956,-0.05719312956405631
AVY,20.124285,6.0631213,0.31751,0.085880004,146.084,0.861,13873141760,-0.16200894987319892,0.19436940573814537,37.40065486416635,-0.3937119364706654,183.57249206542969,202.34557075500487,852.429075226261,-0.16200894987319892
AXON,119.706856,18.952929,0.19122,0.012180001,31.41,1.123,44716716032,0.46403408557880166,0.526431344695601,58.77572406236849,7.864862819322502,589.3526013183593,472.40145126342776,380.6978383871598,0.46403408557880166
BKR,15.115771,2.6394584,0.18469,0.05748,39.261,1.287,44599595008,0.2629613891309355,0.2872873353868849,63.59103345142105,0.3188683575063809,44.81302764892578,38.99309834480286,89718.17436516559,0.2629613891309355
BALL,36.934307,2.497902,0.08805,0.04004,101.467,0.991,14288377856,-0.23153735330861336,0.24076240010545683,42.824851840948156,-0.11302981815943217,52.27679054260254,59.379791202545164,13373.063644380944,-0.23153735330861336
BDX,38.54714,2.6084232,0.06835,0.03698,74.422,0.379,65745301504,-0.010259002548459129,0.19197989280128247,62.37150496729451,0.6992267768989351,231.64423034667968,230.74112831115724,2826.48380377212,-0.010259002548459129
BRK-B,12.778828,0.0011686938,0.14653,0.063930005,20.066,0.858,1138493227008,0.15857330740412712,0.16044994656131556,78.5925350202909,1.1579059298736922,486.7561999511719,457.20050033569333,3976.660084482624,0.15857330740412712
BBY,17.427568,5.615448,0.31633,0.072859995,144.836,1.452,15766087680,-0.22517774099240773,0.35763794791921444,47.79755716326621,0.13212805918020498,82.89099975585937,87.34964382171631,15421.8535524402,-0.22517774099240773
TECH,61.663265,4.5912476,0.07825,0.05683,19.01,1.295,9553257472,-0.2264891976589638,0.37707555617930205,44.79717860513995,0.28957677104450763,67.69888732910157,72.5599207687378,8498.65956323705,-0.2264891976589638
BIIB,12.495979,1.219625,0.10358,0.05289,40.181,0.012,20467617792,-0.29860553068339946,0.25830722663989336,42.815462232011384,-0.25779329372879556,142.23719970703124,179.22015007019044,5543.910390107966,-0.29860553068339946
BLK,23.224234,3.1829586,0.14376001,0.03666,28.816,1.303,151472586752,0.06141711390799354,0.20504668685151978,54.21621270768015,6.469443198603571,976.1154870605469,929.8051818847656,240.47454940710227,0.06141711390799354
BSX,82.544,6.988621,0.08889,0.05035,51.029,0.774,152610439168,0.2295043202629341,0.18743352033375074,46.726574456638126,0.4972707155884284,101.6852001953125,87.74485000610352,57265.03181356948,0.2295043202629341
AVGO,87.59722,3.1949816,0.14845,0.069759995,166.032,1.03,889655984128,0.11216260733992867,0.581314234601209,48.82953903313862,1.0147976973937851,211.97831817626954,182.2822808074951,52904.670180249836,0.11216260733992867
BR,37.11346,12.45235,0.35341,0.08861,173.54,1.063,27751641088,0.14771507653235671,0.1856683169070207,44.7514280133409,0.5079578883548719,235.32588134765626,218.64292655944826,571.174972896355,0.14771507653235671
BRO,35.069363,5.405381,0.16678,0.052849997,63.073,0.856,34694987776,0.20474948422264383,0.17726017230077362,56.853596900228936,-0.17991703053663333,112.0273811340332,104.11286281585693,4250.251392545273,0.20474948422264383
BF-B,16.267942,4.2037587,0.27985,0.0896,74.889,0.727,15972179968,-0.2583759850471943,0.29898389189804886,41.32666878768199,-0.15937493322290736,33.23369205474854,40.91390011787414,33849.23529411765,-0.2583759850471943
BLDR,14.422736,3.4543195,0.23877001,0.09458,100.846,2.197,14846856192,-0.33918279286452924,0.43932202824600614,44.96844604966231,0.9807955919671221,147.28899856567384,162.36949970245362,3543.0550737547073,-0.33918279286452924
BG,9.246558,0.9984188,0.10438,0.03886,65.02,0.65,9897555968,-0.23923397650735168,0.2533132894693722,57.99557641037059,-0.010462368811049005,74.02550155639648,88.79965881347657,6175.081442343905,-0.23923397650735168
BXP,764.5555,2.0105774,0.01044,0.02421,213.956,1.214,12142969856,-0.1287606164339562,0.30981552867266016,53.30601811322305,0.4085205322592115,70.1365998840332,72.31702793121337,7199.012026968652,-0.1287606164339562
CHRW,25.906736,6.890849,0.29655,0.08492,101.108,0.835,11870600192,-0.02853133329612656,0.3013367507521921,56.90682283931619,0.2692363109748525,100.26506393432618,99.58748077392578,4005.79,-0.02853133329612656
CDNS,69.53247,15.68616,0.26133,0.11858,56.202,1.053,73378717696,-0.02213616796617557,0.3678285263738688,74.24115374928957,4.761353096123434,276.6756002807617,284.47480003356935,2114.770168789445,-0.02213616796617557
CPT,81.113335,2.8274965,0.03487,0.020680001,73.492,0.958,12989123584,-0.01152878508299171,0.20551337737634606,41.63116654918426,-0.12171488142070674,117.82799957275391,116.53309677124024,2300.312354828616,-0.01152878508299171
CPB,22.124279,2.9170794,0.13423,0.064959995,205.496,0.143,11412917248,-0.23968386927326402,0.23597365338032603,44.6481504040281,-0.19903281117812618,39.04830009460449,44.0402172088623,28052.931605346137,-0.23968386927326402
