,PE,PB,ROE,ROA,DebtToEquity,Momentum_6m,Volatility,Return_1y
AMD,110.19,3.1046433,0.02893,0.019019999,4.032,-0.29703347724780704,0.45356136271069447,-0.38643574426000527
BA,,-34.17879,,-0.04269,,0.14235444379762452,0.3358042832154465,-0.06980981562660604
GE,34.050903,11.511601,0.27644,0.03271,104.155,0.10458735938257147,0.32012487679951157,0.45478375958548156
HON,24.440365,7.4379644,0.32244998,0.074990004,168.18,0.05665886096112538,0.1913196401337394,0.06098447617743208
IBM,38.993767,8.4918585,0.24057,0.03063,213.179,0.1518998051156082,0.2573304500417973,0.3561782255052681
T,18.557047,1.9009969,0.10226,0.04123,121.359,0.31970567409524553,0.21198448796276595,0.6671032446070799
VZ,10.671498,1.8740987,0.18469,0.05049,170.713,0.03173899827923554,0.21589635637654936,0.13537955171733973
PFE,17.879433,1.6197635,0.09057,0.0464,76.181,-0.11208382351123414,0.22655578999312267,-0.03563276836281859
MRNA,,1.1146914,-0.2877,-0.15141,6.853,-0.5091986304677625,0.6722978094573827,-0.7153449626125852
JNJ,27.882757,5.4447513,0.20056,0.08126,52.922,0.006754772226154726,0.1663901455642918,0.05664793041315774
LLY,70.78425,52.28687,0.84264,0.15329,244.616,-0.096855243594274,0.3168131765556439,0.0693304916028934
NKE,21.84053,6.937526,0.31934,0.08367,85.036,-0.2295827661755313,0.33619758646948367,-0.28857035028155664
ADBE,26.275429,13.245321,0.47284,0.17194,50.118,-0.24638641855315213,0.35386264610844065,-0.21132037594704167
ORCL,34.694836,24.761267,1.03741,0.073460005,632.501,-0.10517360630920436,0.3818362681595212,0.19259428895065556
CSCO,27.105263,5.3983226,0.20019,0.065560006,71.21,0.2013151622956455,0.18895874018752457,0.28089988826469336
CAT,15.462829,8.364228,0.55327,0.09675,200.118,-0.07430417272755285,0.2716141134172613,-0.05046645895136592
MMM,21.030302,21.437798,0.91850996,0.05929,350.77,0.13719505473086668,0.3182870277634486,0.785683265436508
UPS,16.445927,5.670719,0.33955002,0.07106,153.21,-0.11461316063923477,0.28338062648672807,-0.20775822133826938
FDX,15.334802,2.1896427,0.14762,0.04879,,-0.048602987103451456,0.3201240484219305,-0.13584895552336385
MDT,26.899391,2.2925816,0.08442,0.04656,53.627,-0.001832343148181148,0.19994177022892864,0.04111662747037692
UNH,33.4107,5.117216,0.15128,0.07056,79.727,-0.08894040118136792,0.2944234884577255,0.06770870536724849
CVS,18.360655,1.1205976,0.0602,0.01993,109.494,0.19528258954521727,0.40934717100653434,-0.11541450856556867
TGT,11.974041,3.2954366,0.2912,0.06341,135.518,-0.3060179492520846,0.36239447243982364,-0.3739112221282005
LOW,18.973835,-9.131153,,0.1567,,-0.10765688734585754,0.2243668611570832,-0.06717806691246875
